Variable,Parents,ParentConfig,Low,Mid,High
Temperature,,(no-parents),0,3326481031582882,0,3662399551485704,0,3011119416931415
Humidity,Temperature,Temperature=High,0,7958107059736229,0,19239720713731576,0,011792086889061288
Humidity,Temperature,Temperature=Mid,0,2747799464217375,0,4700854700854701,0,25513458349279244
Humidity,Temperature,Temperature=Low,0,007303370786516854,0,2747191011235955,0,7179775280898877
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=Mid|DistCoast=Low|HarvestHavre=Low,0,07462686567164178,0,5671641791044776,0,3582089552238806
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=Low|DistCoast=Mid|HarvestHavre=Mid,0,5910543130990416,0,40894568690095845,0
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=Mid|DistCoast=Mid|HarvestHavre=Low,0,7465753424657534,0,2363013698630137,0,017123287671232876
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=Low|DistCoast=Low|HarvestHavre=Low,0,04824561403508772,0,793859649122807,0,15789473684210525
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=Mid|Humidity=Mid|DistCoast=High|HarvestHavre=Missing,0,7727272727272727,0,22727272727272727,0
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=Low|DistCoast=High|HarvestHavre=High,0,007434944237918215,0,70817843866171,0,2843866171003718
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=Mid|DistCoast=High|HarvestHavre=Low,0,3443708609271523,0,2052980132450331,0,4503311258278146
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=Mid|Humidity=Mid|DistCoast=High|HarvestHavre=Low,0,17473338802296964,0,5217391304347826,0,30352748154224773
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=High|DistCoast=Low|HarvestHavre=Mid,1,0,0
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=Mid|Humidity=Mid|DistCoast=Low|HarvestHavre=Mid,0,922971114167813,0,07702888583218707,0
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=Mid|Humidity=High|DistCoast=Low|HarvestHavre=Low,0,7692307692307693,0,2,0,03076923076923077
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=Mid|Humidity=High|DistCoast=Low|HarvestHavre=Mid,0,49576669802445905,0,504233301975541,0
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=Low|DistCoast=Mid|HarvestHavre=Low,0,2033898305084746,0,6779661016949152,0,11864406779661017
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=Mid|Humidity=Mid|DistCoast=Mid|HarvestHavre=Mid,0,955177743431221,0,04482225656877898,0
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=Low|DistCoast=High|HarvestHavre=Missing,0,6065573770491803,0,39344262295081966,0
Wind,Temperature,Humidity,DistCoast,HarvestHavre,Temperature=High|Humidity=High|DistCoast=Low|HarvestHavre=Low,0,6666666666666666,0,3333333333333333,0
